12424_C_0	12424_C_5	12424_C_10	12424_C_15	12424_C_20	12424_C_30	12424_C_45	12424_C_60
YGR256W	0	-0.126271653757973	0.247221395609284	0.420316859035288	0.541314079741334	1.23697261696578	1.2148008290775	1.18715966387117
YAL061W	0	0.41162654246425	-0.0275572671878681	0.848514051573622	1.693234711753	1.8838410281885	1.06885264350282	0.797841702157144
YPR102C	0	-0.460112424926249	-0.31073146548629	-0.437656305301685	-0.447125738379001	-0.870927278058001	-1.09886515736413	-1.25660124057926
YNR034W-A	0	0.442663341582286	-0.023890327252448	0.146865568788878	0.920556141808052	1.47807822700805	0.813692595517216	0.587906420943583
YFR053C	0	0.435332738410733	0.392485125292031	0.367758759297258	0.741967170633368	1.21283249467062	0.849330678748189	0.665996839583995
YGR248W	0	0.582202091009558	-0.219432306233717	0.73289205693927	1.82060365538065	2.09516558526671	1.23793793708764	1.1394201801298
YKL035W	0	0.349499650682512	-0.0460083363122354	0.30517555474445	0.987912223301126	1.21987664689971	0.420545353724321	0.283363951286793
YOL153C	0	0.411680219814717	0.121486363205483	0.910154647814775	1.3576587888615	1.21358685099722	0.620229661311292	0.548401676713681
YGR088W	0	0.808361797790653	0.628106299405643	0.778501859189171	1.62676310043136	2.68309758269402	2.04506701861047	1.99098170780669
YKL217W	0	-1.11498672427712	0.598179664537545	0.771430021376925	0.705782681076494	0.659537988248223	-0.197757164241808	5.48290977091287
YHL040C	0	0.245708299845759	-0.170525242205936	-0.737861204564621	-0.87232954769402	-1.03436137471115	-0.670232305474684	-0.680417225339686
YBR241C	0	0.552684786824407	0.067566207951415	0.0686698647408885	0.49829473805336	1.06514332234587	0.826266642430332	0.777450618609788
YDR389W	0	0.0921713502225306	-1.21493289511702	0.161611497889993	0.169077824855251	0.207232514103861	0.191344175019024	0.187674371863928
YPL004C	0	0.490972565028942	0.0722430537446674	0.249980873140113	0.799252784151039	1.32049846023692	0.944585756698766	0.880746615716587
YMR322C	0	0.575199829287772	0.0872239866053086	0.333574049405809	0.846758396352312	1.10693745813423	0.731327301990309	0.662066581676591
YLR251W	0	0.583688477220845	0.248065931009534	0.748001559900554	1.13329527566533	0.950316253672616	0.505665876152072	0.406250114544468
YGL104C	0	0.75484462296671	0.076568533707883	0.126772433980949	0.686430997111408	1.11150642048592	0.770916401247522	0.665781392582851
YLL018C-A	0	0.622411141174627	1.08645671804644	1.33527009230118	1.435213983348	1.66172657073015	3.06951274031656	1.66293314857616
YPL240C	0	0.0842277131841961	0.057958112122482	0.237233666230897	0.758723690398784	1.0261248660736	0.770539348346639	0.751811193993602
YGL208W	0	-0.301755166834698	0.0634327453267454	0.801388581049591	0.139110668596824	0.185916073166512	0.0341593006556553	1.34060421132039
YPL154C	0	0.639649786458418	0.178533788428869	0.102797145977194	0.411153934880568	1.01830087831201	0.912773716522233	0.822561959294214
YCR020C-A	0	-0.658024973012408	-0.315423689498625	-0.0100601812847643	-0.119258023267724	-0.556039961426091	-1.16730511249436	-1.33117396183759
